input_curie	preferred_identifier	preferred_label	confidence	method	mapping_relation	combo_concept_id	combo_label	source_identifier	evidence
COMBO:1.2.12.5.1.8	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.1.8	Electrothermal_Bian_Stone_Moxibustion	COMBO:1.2.12.5.1.8	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.1.9	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.1.9	Laser_Moxibustion	COMBO:1.2.12.5.1.9	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.1.9.1	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.1.9.1	Infrared_Laser_Moxibustion	COMBO:1.2.12.5.1.9.1	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.1.10	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.1.10	Warming_Cup_Moxibustion	COMBO:1.2.12.5.1.10	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.1.11	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.1.11	Warming_Moxibustion	COMBO:1.2.12.5.1.11	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2	Substance_Partitioned_Moxibustion	COMBO:1.2.12.5.2	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.1	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.1	Crude_Herb_Moxibustion	COMBO:1.2.12.5.2.1	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.3	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.3	Drug_Separated_Moxibustion	COMBO:1.2.12.5.2.3	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.4	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.4	Du_Moxibustion	COMBO:1.2.12.5.2.4	variant_parent:narrow_to_parent:moxibustion
COMBO:1.2.12.5.2.5	UMLS:C0026652	Moxibustion	0.78	variant_parent_mapping	narrow_to_parent	1.2.12.5.2.5	Garlic_Moxibustion	COMBO:1.2.12.5.2.5	variant_parent:narrow_to_parent:moxibustion
