umls_key	original_label	prefix	local_id	id_label
UMLS:C1422210	BCO1	MESH	C493358	BCO1 protein, human
UMLS:C0073108	retinoid 7901	MESH	C033564	retinoid 7901
UMLS:C0073108	retinoid 7901	CAS	81626-28-0	
UMLS:C1422056	VN1R1	MESH	C414724	VN1R1 protein, human
UMLS:C1540019	TMEM45B	MESH	C000614275	TMEM45B protein, human
UMLS:C0056247	conjuvac	MESH	C038866	conjuvac
UMLS:C1823556	TWF1	MESH	C485188	TWF1 protein, human
UMLS:C1175496	bucain	MESH	C472824	bucain
UMLS:C0065259	lupulon	UNII	B7425USG94	LUPULON
UMLS:C0065259	lupulon	CHEMBL.COMPOUND	CHEMBL480267	LUPULONE
UMLS:C0065259	lupulon	MESH	C008299	lupulon
UMLS:C0065259	lupulon	KEGG.COMPOUND	C10706	
UMLS:C0065259	lupulon	INCHIKEY	WPVSVIXDXMNGGN-UHFFFAOYSA-N	
UMLS:C0071595	polyisoleucine	MESH	C043801	polyisoleucine
UMLS:C0077700	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase	MESH	C038111	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase
UMLS:C0166814	integrin alphavbeta6	MESH	C073878	integrin alphavbeta6
UMLS:C1823586	UBXN7	MESH	C531895	UBXN7 protein, human
UMLS:C5139916	XmAb5574	MESH	C000613469	tafasitamab
UMLS:C5139916	XmAb5574	DRUGBANK	DB15044	Tafasitamab
UMLS:C1144025	cyclooxygenase-3	MESH	C466421	cyclooxygenase-3
UMLS:C0214493	neurocatin	MESH	C080290	neurocatin
UMLS:C0785069	iodine Topical Solution	RXCUI	244664	
UMLS:C1419981	SF3B2	MESH	C486348	SF3B2 protein, human
UMLS:C0050494	acetylalanyl-alanyl-alanyl-alanine	MESH	C037418	acetylalanyl-alanyl-alanyl-alanine
UMLS:C3147006	YBEY	MESH	C000619857	YBEY protein, human
UMLS:C1538360	IZUMO3	MESH	C000626581	IZUMO3 protein, human
UMLS:C1824206	ARL5B	MESH	C477339	ARL5B protein, human
UMLS:C0077062	trichosporin B-V	MESH	C056811	trichosporin B-V
UMLS:C1417861	NT5E	MESH	C548241	NT5E protein, human
UMLS:C0700562	alfentanil hydrochloride	RXCUI	203203	
UMLS:C0311892	1,4-beta-D-xylan synthase	MESH	C038331	1,4-beta-D-xylan synthase
UMLS:C0758679	nucleocapsid protein, Akabane virus	MESH	C115040	nucleocapsid protein, Akabane virus
UMLS:C0295334	Staphylococcal neutral phosphatase	MESH	C092526	Staphylococcal neutral phosphatase
UMLS:C1412922	SERPING1	MESH	C469952	SERPING1 protein, human
UMLS:C0057490	dermatophytin	MESH	C007271	dermatophytin
UMLS:C1539478	FASLG	MESH	C505661	FASLG protein, human
UMLS:C0057217	thyrotropin-releasing hormone, deamido-	MESH	C020271	thyrotropin-releasing hormone, deamido-
UMLS:C0066951	murinoglobulin	MESH	C044177	murinoglobulin
UMLS:C0023689	Ligase	MESH	D008025	Ligases
UMLS:C0699958	Voltaren	RXCUI	202976	
UMLS:C0987814	methylprednisolone 8 MG	RXCUI	316288	
UMLS:C0211001	precorrin 3	MESH	C078447	precorrin 3
UMLS:C0211001	precorrin 3	CAS	114019-24-8	
UMLS:C0258174	netrin-1	MESH	D000075388	Netrin-1
UMLS:C1417850	NRP2	MESH	C581308	neuropilin-2, human
UMLS:C1539769	SHQ1	MESH	C542388	SHQ1 protein, human
UMLS:C0110730	cordialin	MESH	C067671	cordialin
UMLS:C1101145	trans-sialidase	MESH	C069715	trans-sialidase
UMLS:C0021018	Immunoglobulin Joining Region	MESH	D007133	Immunoglobulin Joining Region
UMLS:C1539959	TCHHL1	MESH	C561436	TCHHL1 protein, human
UMLS:C1427167	SLC39A12	MESH	C510805	SLC39A12 protein, human
UMLS:C0211880	endoglucanase CelC	MESH	C078899	endoglucanase CelC
UMLS:C3885146	olokizumab	MESH	C000592400	olokizumab
UMLS:C3885146	olokizumab	DRUGBANK	DB13127	Olokizumab
UMLS:C0054954	CD36 Antigens	MESH	D018955	CD36 Antigens
UMLS:C0053539	hirugen	MESH	C062510	hirugen
UMLS:C1425869	S100A14	MESH	C462950	S100A14 protein, human
UMLS:C1577175	alprazolam Disintegrating Oral Tablet	RXCUI	485412	
UMLS:C3883251	4-butylresorcinol	RXCUI	1600929	
UMLS:C0059082	empedopeptin	MESH	C043469	empedopeptin
UMLS:C0967836	HOP-9P	MESH	C431026	HOP-9P
UMLS:C0072298	prostaglandin synthase inhibitor, endogenous	MESH	C030137	prostaglandin synthase inhibitor, endogenous
UMLS:C0701977	Phospholine Iodide	RXCUI	204232	
UMLS:C1120535	LJP 993	MESH	C447679	LJP 993
UMLS:C3180480	HM781-36B	MESH	C557213	HM781-36B
UMLS:C2351298	DGKZ	MESH	C526463	DGKZ protein, human
UMLS:C0074071	sarkosyl	MESH	C025231	sarkosyl
UMLS:C0168237	CA 242 antigen	MESH	C074601	CA 242 antigen
UMLS:C1170074	Avagard	RXCUI	1089997	
UMLS:C0249896	nucleoprotein VP35, Ebola virus	MESH	C084818	nucleoprotein VP35, Ebola virus
UMLS:C0256819	follipsin	MESH	C088241	follipsin
UMLS:C0654775	fbp2 protein, Petunia x hybrida	MESH	C077489	fbp2 protein, Petunia x hybrida
UMLS:C0378533	Shal Potassium Channels	MESH	D051672	Shal Potassium Channels
UMLS:C0070043	Pantothenate kinase	MESH	C023088	pantothenate kinase
UMLS:C0650518	dihydrotentoxin	MESH	C073609	dihydrotentoxin
UMLS:C0061354	glucagon, protamine zinc-	MESH	C047696	glucagon, protamine zinc-
UMLS:C3711667	ARHGEF5	MESH	C577228	ARHGEF5 protein, human
UMLS:C1451962	Rgn protein, rat	MESH	C513325	Rgn protein, rat
UMLS:C1416576	KCNJ1	MESH	C086989	KCNJ1 protein, human
UMLS:C0071229	Plastipore	MESH	C016674	Plastipore
UMLS:C4321332	cyanide	RXCUI	1923817	
UMLS:C0045699	2-(3-(diphenylhexatrienyl)propanoyl)-3-palmitoylphosphatidylcholine	MESH	C060859	2-(3-(diphenylhexatrienyl)propanoyl)-3-palmitoylphosphatidylcholine
UMLS:C0045699	2-(3-(diphenylhexatrienyl)propanoyl)-3-palmitoylphosphatidylcholine	CAS	121822-82-0	
UMLS:C0247213	if protein, Drosophila	MESH	C082188	if protein, Drosophila
UMLS:C0753723	Adenomatous Polyposis Coli Protein	MESH	D025601	Adenomatous Polyposis Coli Protein
UMLS:C0966794	2-(3-estrone-N-ethyl-piperazine-methyl)tetracycline	MESH	C428143	2-(3-estrone-N-ethyl-piperazine-methyl)tetracycline
UMLS:C2003564	Bmp5 protein, mouse	MESH	C525815	Bmp5 protein, mouse
UMLS:C0061617	glycinin	MESH	C011474	glycinin
UMLS:C1423744	ZNF334	MESH	C000603670	ZNF334 protein, human
UMLS:C0668492	7-hydroxy-delta(8)-tetrahydrocannabinol	MESH	C109363	7-hydroxy-delta(8)-tetrahydrocannabinol
UMLS:C2830140	zolbetuximab	MESH	C585662	zolbetuximab
UMLS:C2830140	zolbetuximab	DRUGBANK	DB15118	Zolbetuximab
UMLS:C3489391	uranyl nitrate hexahydrate	RXCUI	1313279	
UMLS:C1529123	dicumarin	MESH	C493312	dicumarin
UMLS:C0171641	kryofix	MESH	C076358	kryofix
UMLS:C1336635	TLR3	MESH	C495344	TLR3 protein, human
UMLS:C1415679	HOXC5	MESH	C118987	HOXC5 protein, human
UMLS:C2829966	NUPR1	MESH	C491643	NUPR1 protein, human
UMLS:C3501368	NecroX-5	MESH	C574766	NecroX-5
UMLS:C1824087	ZYG11A	MESH	C454941	ZYG11A protein, human
UMLS:C1438393	NDC80	MESH	C120529	NDC80 protein, human
UMLS:C0892283	piperazine dihydrochloride	RXCUI	2562175	
UMLS:C0076855	toxin II (Anemonia sulcata)	MESH	C028800	toxin II (Anemonia sulcata)
UMLS:C1450241	Bcar1 protein, rat	MESH	C493843	Bcar1 protein, rat
UMLS:C0980732	timolol 0.005 MG/MG Ophthalmic Gel	RXCUI	313408	
UMLS:C1416553	KCNAB3	MESH	C116766	KCNAB3 protein, human
