combo_concept_id	combo_label	seed_identifier	canonical_identifier	equivalent_identifier	equivalent_label	mapping_confidence	mapping_source
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:151208002	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:160671006	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:182926001	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:437651000124104	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.3	Gluten_Free_Diet	MESH:D055050	UMLS:C0344351	SNOMEDCT:6468003	Gluten-Free Diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.4	Paleolithic_Diet	UMLS:C0452423	UMLS:C0452423	UMLS:C0452423	Diet, Paleolithic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.4	Paleolithic_Diet	UMLS:C0452423	UMLS:C0452423	MESH:D066046	Diet, Paleolithic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.4	Paleolithic_Diet	UMLS:C0452423	UMLS:C0452423	SNOMEDCT:226241004	Diet, Paleolithic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.4	Paleolithic_Diet	MESH:D066046	UMLS:C0452423	UMLS:C0452423	Diet, Paleolithic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.4	Paleolithic_Diet	MESH:D066046	UMLS:C0452423	MESH:D066046	Diet, Paleolithic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.4	Paleolithic_Diet	MESH:D066046	UMLS:C0452423	SNOMEDCT:226241004	Diet, Paleolithic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	UMLS:C0012166	UMLS:C0012166	Diet, Macrobiotic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	UMLS:C0012166	MEDDRA:10025377	Diet, Macrobiotic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	UMLS:C0012166	MESH:D015623	Diet, Macrobiotic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.5	Macrobiotic_Diet	UMLS:C0012166	UMLS:C0012166	SNOMEDCT:102268008	Diet, Macrobiotic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.5	Macrobiotic_Diet	MESH:D015623	UMLS:C0012166	UMLS:C0012166	Diet, Macrobiotic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.5	Macrobiotic_Diet	MESH:D015623	UMLS:C0012166	MEDDRA:10025377	Diet, Macrobiotic		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.5	Macrobiotic_Diet	MESH:D015623	UMLS:C0012166	MESH:D015623	Diet, Macrobiotic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.5	Macrobiotic_Diet	MESH:D015623	UMLS:C0012166	SNOMEDCT:102268008	Diet, Macrobiotic	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7	Plant_Based_Diet	MESH:D000095500	UMLS:C5197846	UMLS:C5197846			self
1.1.1.7	Plant_Based_Diet	MESH:D000095500	UMLS:C5197846	MESH:D000095500		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7	Plant_Based_Diet	MESH:D000095500	UMLS:C5197846	NCIT:C180543		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.1	Mediterranean_Diet	MESH:D038441	UMLS:C1138412	UMLS:C1138412	Diet, Mediterranean		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.1	Mediterranean_Diet	MESH:D038441	UMLS:C1138412	MESH:D038441		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.1	Mediterranean_Diet	MESH:D038441	UMLS:C1138412	SNOMEDCT:1255163004		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	UMLS:C0311164	Vegetarian diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	MESH:D014676		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	MTH:U003174		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	SNOMEDCT:138044000		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	SNOMEDCT:5940000		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	SNOMEDCT:765021002		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2	Vegetarian_Diet	MESH:D014676	UMLS:C0311164	SNOMEDCT:80714005		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2.2	Vegan_Diet	UMLS:C0344353	HP:4000172	HP:4000172	Vegan diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.2.2	Vegan_Diet	UMLS:C0344353	HP:4000172	MEDDRA:10047178	Vegan diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.2.2	Vegan_Diet	UMLS:C0344353	HP:4000172	UMLS:C0344353	Vegan diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.2.2	Vegan_Diet	MESH:D000067269	UMLS:C0344353	UMLS:C0344353	Vegan diet		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.7.2.2	Vegan_Diet	MESH:D000067269	UMLS:C0344353	HPO:HP:4000172	Vegan diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2.2	Vegan_Diet	MESH:D000067269	UMLS:C0344353	MESH:D000067269	Vegan diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2.2	Vegan_Diet	MESH:D000067269	UMLS:C0344353	SNOMEDCT:138045004	Vegan diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2.2	Vegan_Diet	MESH:D000067269	UMLS:C0344353	SNOMEDCT:162537004	Vegan diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2.2	Vegan_Diet	MESH:D000067269	UMLS:C0344353	SNOMEDCT:24930006	Vegan diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2.2	Vegan_Diet	MESH:D000067269	UMLS:C0344353	SNOMEDCT:281015005	Vegan diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.7.2.2	Vegan_Diet	MESH:D000067269	UMLS:C0344353	SNOMEDCT:89982001	Vegan diet	0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.9	Western_Diet	MESH:D066273	UMLS:C3849996	UMLS:C3849996	Diet, Western		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.9	Western_Diet	MESH:D066273	UMLS:C3849996	MESH:D066273		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.10	Intermittent_Fasting	MESH:D000093763	UMLS:C4704881	UMLS:C4704881	Intermittent Fasting		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.1.10	Intermittent_Fasting	MESH:D000093763	UMLS:C4704881	MESH:D000093763		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.10	Intermittent_Fasting	MESH:D000093763	UMLS:C4704881	NCIT:C170801		0.9	combo_crosswalk_from_mrconso.tsv
1.1.1.10	Intermittent_Fasting	MESH:D000093763	UMLS:C4704881	SNOMEDCT:1362129009		0.9	combo_crosswalk_from_mrconso.tsv
1.1.2	Gerson_Therapy	UMLS:C1831723	UMLS:C1831723	UMLS:C1831723			self
1.1.2	Gerson_Therapy	UMLS:C1831723	UMLS:C1831723	NCIT:C62680	Gerson Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.1.3	Gonzalez_Regimen	UMLS:C1831689	UMLS:C1831689	UMLS:C1831689			self
1.1.3	Gonzalez_Regimen	UMLS:C1831689	UMLS:C1831689	NCIT:C62678	Gonzalez Regimen	0.9	combo_crosswalk_from_mrconso.tsv
1.1.4	Dietary_Macronutrients_Therapy	UMLS:C1880312	UMLS:C1880312	UMLS:C1880312			self
1.1.4	Dietary_Macronutrients_Therapy	UMLS:C1880312	UMLS:C1880312	NCIT:C67026	Dietary Macronutrients Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.1.5	Antioxidants_Therapy	UMLS:C1879713	UMLS:C1879713	UMLS:C1879713	Antioxidant therapy		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.5	Antioxidants_Therapy	UMLS:C1879713	UMLS:C1879713	NCIT:C67025	Antioxidant therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.1.6	Dietary_Supplementation	UMLS:C0242297	UMLS:C0242297	UMLS:C0242297	Dietary Supplementation		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.6	Dietary_Supplementation	UMLS:C0242297	UMLS:C0242297	NCIT:C15425	Dietary Supplementation	0.9	combo_crosswalk_from_mrconso.tsv
1.1.10	Orthomolecular_Therapy	UMLS:C0029340	UMLS:C0029340	UMLS:C0029340	Orthomolecular Therapy		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.10	Orthomolecular_Therapy	UMLS:C0029340	UMLS:C0029340	MESH:D009974	Orthomolecular Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.1.10	Orthomolecular_Therapy	UMLS:C0029340	UMLS:C0029340	NCIT:C67024	Orthomolecular Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.1.11	Immunoaugmentative_Therapy	UMLS:C1881140	UMLS:C1881140	UMLS:C1881140			self
1.1.11	Immunoaugmentative_Therapy	UMLS:C1881140	UMLS:C1881140	NCIT:C67029	Immunoaugmentative Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.1.12	Antineoplastons_Therapy	UMLS:C1879712	UMLS:C1879712	UMLS:C1879712			self
1.1.12	Antineoplastons_Therapy	UMLS:C1879712	UMLS:C1879712	NCIT:C67027	Antineoplastons Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.1.13	Chelation_Therapy	UMLS:C0007975	UMLS:C0007975	UMLS:C0007975	Chelation Therapy		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.1.13	Chelation_Therapy	UMLS:C0007975	UMLS:C0007975	MESH:D015913	Chelation Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	UMLS:C0394664	Acupuncture Therapy		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	LOINC:LA33527-5	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	LOINC:LA34018-4	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	LOINC:LP234767-4	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	MESH:D015670	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	NCIT:C15176	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	SNOMEDCT:150831001	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	SNOMEDCT:150834009	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	SNOMEDCT:182616006	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	SNOMEDCT:231098007	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	UMLS:C0394664	UMLS:C0394664	SNOMEDCT:44868003	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	UMLS:C0394664	Acupuncture Therapy		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	LOINC:LA33527-5	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	LOINC:LA34018-4	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	LOINC:LP234767-4	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	MESH:D015670	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	NCIT:C15176	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	SNOMEDCT:150831001	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	SNOMEDCT:150834009	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	SNOMEDCT:182616006	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	SNOMEDCT:231098007	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1	Acupuncture	MESH:D015670	UMLS:C0394664	SNOMEDCT:44868003	Acupuncture Therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.1	Acupuncture_for_Anesthesia	UMLS:C0001301	UMLS:C0001301	UMLS:C0001301	Acupuncture Anesthesia		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1.1	Acupuncture_for_Anesthesia	UMLS:C0001301	UMLS:C0001301	ICD9CM:99.91	Acupuncture Anesthesia	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.1	Acupuncture_for_Anesthesia	UMLS:C0001301	UMLS:C0001301	SNOMEDCT:150832008	Acupuncture Anesthesia	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.1	Acupuncture_for_Anesthesia	UMLS:C0001301	UMLS:C0001301	SNOMEDCT:182614009	Acupuncture Anesthesia	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.2	Acupuncture_for_Analgesia	UMLS:C0001300	UMLS:C0001300	UMLS:C0001300	Acupuncture Analgesia		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1.2	Acupuncture_for_Analgesia	UMLS:C0001300	UMLS:C0001300	MESH:D015667	Acupuncture Analgesia	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.2	Acupuncture_for_Analgesia	UMLS:C0001300	UMLS:C0001300	SNOMEDCT:150833003	Acupuncture Analgesia	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.2	Acupuncture_for_Analgesia	UMLS:C0001300	UMLS:C0001300	SNOMEDCT:182615005	Acupuncture Analgesia	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.2	Acupuncture_for_Analgesia	MESH:D015667	UMLS:C0001300	UMLS:C0001300	Acupuncture Analgesia		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1.2	Acupuncture_for_Analgesia	MESH:D015667	UMLS:C0001300	MESH:D015667	Acupuncture Analgesia	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.2	Acupuncture_for_Analgesia	MESH:D015667	UMLS:C0001300	SNOMEDCT:150833003	Acupuncture Analgesia	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.2	Acupuncture_for_Analgesia	MESH:D015667	UMLS:C0001300	SNOMEDCT:182615005	Acupuncture Analgesia	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.3	Auricular_Acupuncture	UMLS:C0752217	UMLS:C0752217	UMLS:C0752217	Acupuncture, Ear		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1.3	Auricular_Acupuncture	UMLS:C0752217	UMLS:C0752217	MESH:D020831	Acupuncture, Ear	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.3	Auricular_Acupuncture	MESH:D020831	UMLS:C0752217	UMLS:C0752217	Acupuncture, Ear		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1.3	Auricular_Acupuncture	MESH:D020831	UMLS:C0752217	MESH:D020831	Acupuncture, Ear	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.4	Electroacupuncture	UMLS:C0013794	UMLS:C0013794	UMLS:C0013794	Electroacupuncture		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1.4	Electroacupuncture	UMLS:C0013794	UMLS:C0013794	MESH:D015671	Electroacupuncture	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.4	Electroacupuncture	UMLS:C0013794	UMLS:C0013794	NCIT:C28146	Electroacupuncture	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.4	Electroacupuncture	MESH:D015671	UMLS:C0013794	UMLS:C0013794	Electroacupuncture		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1.4	Electroacupuncture	MESH:D015671	UMLS:C0013794	MESH:D015671	Electroacupuncture	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.4	Electroacupuncture	MESH:D015671	UMLS:C0013794	NCIT:C28146	Electroacupuncture	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.4.1	Electroacupuncture_After_Voll	UMLS:C0394660	UMLS:C0394660	UMLS:C0394660			self
1.2.1.4.1	Electroacupuncture_After_Voll	UMLS:C0394660	UMLS:C0394660	SNOMEDCT:231093003	Electroacupuncture after Voll	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.4.2	Vega_Electroacupuncture_Therapy	UMLS:C0394661	UMLS:C0394661	UMLS:C0394661			self
1.2.1.4.2	Vega_Electroacupuncture_Therapy	UMLS:C0394661	UMLS:C0394661	SNOMEDCT:231095005	VEGA electroacupuncture therapy	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.6	Laser_Acupuncture	UMLS:C0394654	UMLS:C0394654	UMLS:C0394654	Laser acupuncture		/Users/drshika2/NodeNormalization/ (1)/semmed/semmed_normalized_full_with_pubchem.json
1.2.1.6	Laser_Acupuncture	UMLS:C0394654	UMLS:C0394654	NCIT:C94602	Laser acupuncture	0.9	combo_crosswalk_from_mrconso.tsv
1.2.1.6	Laser_Acupuncture	UMLS:C0394654	UMLS:C0394654	SNOMEDCT:231088001	Laser acupuncture	0.9	combo_crosswalk_from_mrconso.tsv
