input_curie	preferred_identifier	preferred_label	confidence	method	evidence
MESH:D026882	UMLS:C0600577	Chiropractic manipulation	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D020393	UMLS:C0600578		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D006990	UMLS:C0679660	Self-Hypnosis	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D026443	UMLS:C0679674	Spiritual Therapies	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C0679674	Spiritual Therapies	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:105390002	UMLS:C0679674	Spiritual Therapies	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
NCIT:C51972	UMLS:C0679674	Spiritual Therapies	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D020557	UMLS:C0683473	Neurolinguistic Programming	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D006705	UMLS:C0684199	Homeopathy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:182968001	UMLS:C0684199	Homeopathy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
NCIT:C15718	UMLS:C0684199	Homeopathy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MTH:NOCODE	UMLS:C0684199	Homeopathy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:151251003	UMLS:C0684199	Homeopathy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:105379007	UMLS:C0686940	Soft tissue mobilization	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
NCIT:C94252	UMLS:C0695530	Tui Na	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D026201	UMLS:C0695540	Bodywork	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C0695563	Thai massage each 15 minutes	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:406147003	UMLS:C0695595	Infant massage	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:404939002	UMLS:C0695600	Myofascial release	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MTH:NOCODE	UMLS:C0695600	Myofascial release	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D000089803	UMLS:C0695600	Myofascial release	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C0695940	Ice massage each 20 minutes	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
NCIT:C15728	UMLS:C0751715	Reiki	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
SNOMEDCT:703884003	UMLS:C0751715	Reiki	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D000099302	UMLS:C0751715	Reiki	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
