combo_concept_id	combo_label	synonyms	reason
1.3.1.4.1.3.4	Circular_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.5	Face_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.6	Pranayama_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.7	Sudarshana_Kriya_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.8	Kripalu_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.9	Hot_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.9.1	Bikram_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.10	Ashtanga_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.11	Tibetan_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.12	Chair_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.13	Sivananda_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.14	Bhakti_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.15	Tantra_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.16	Vinyasa_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.17	Creative_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.18	Relaxing_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.19	Power_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.20	Iyengar_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.21	Karma_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.22	Jinana_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.23	Sahaj_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.24	Hatha_Yoga		no_mrconso_exact_match
1.3.1.4.1.3.25	Yoga_Nidra		no_mrconso_exact_match
1.3.1.4.1.4	Qigong_Therapy		no_mrconso_exact_match
1.3.1.4.1.4.1	Hua_Gong		no_mrconso_exact_match
1.3.1.4.1.4.2	Medical_Qigong		no_mrconso_exact_match
1.3.1.4.1.4.2.1	External_Qi_Gong_Therapy		no_mrconso_exact_match
1.3.1.4.1.4.2.2	Dongeui_Qigong		no_mrconso_exact_match
1.3.1.4.1.4.2.3	Guolin_Qigong		no_mrconso_exact_match
1.3.1.4.1.4.2.4	Qigong_Healer		no_mrconso_exact_match
1.3.1.4.1.4.3	Chan_Mi_Gong		no_mrconso_exact_match
1.3.1.4.1.4.4	Yi_Jia_Gong		no_mrconso_exact_match
1.3.1.4.1.4.5	Biyun_Qi_Gong		no_mrconso_exact_match
1.3.1.4.1.4.6	Daoyin_Qi_Gong		no_mrconso_exact_match
1.3.1.4.1.4.7	Qi_Gong_Yangsheng		no_mrconso_exact_match
1.3.1.4.1.4.8	Baduanjin_Qi_Gong		no_mrconso_exact_match
1.3.1.4.1.4.9	Five_Animals_Qi_Gong		no_mrconso_exact_match
1.3.1.4.3	Aikido		mrconso_exact_review_required
1.3.1.4.4	Motor_Control_Exercise		no_mrconso_exact_match
1.3.1.4.5	Facial_Exercise		no_mrconso_exact_match
1.3.1.4.5.1	Face_Yoga		no_mrconso_exact_match
1.3.1.4.5.2	Facial_Resistance_Training		no_mrconso_exact_match
1.3.1.4.5.3	Face_Shaping		no_mrconso_exact_match
1.3.1.4.6	Guided_Physical_Activity		no_mrconso_exact_match
1.3.1.5	Movement_Education		no_mrconso_exact_match
1.3.1.5.1.1	Alexander_Proprioception		no_mrconso_exact_match
1.3.1.5.2	Aston_Patterning		no_mrconso_exact_match
1.3.1.6	Art_of_Living		no_mrconso_exact_match
1.3.1.7	Eurythmy		no_mrconso_exact_match
1.3.1.8	Feldenkrais_Method		no_mrconso_exact_match
1.3.1.8.1	Functional_Integration		no_mrconso_exact_match
1.3.1.9	Flotation_Therapy		no_mrconso_exact_match
1.3.1.10	Sophrology		no_mrconso_exact_match
1.3.2.1.1	Horse_Riding_Therapy	N/A	no_mrconso_exact_match
1.3.2.1.1.1	Psychoeducational_Horseback_Riding	N/A	no_mrconso_exact_match
1.3.2.1.1.3	Therapeutic_Horseback_Riding	N/A	no_mrconso_exact_match
1.3.2.2	Animal_Companionship	N/A	no_mrconso_exact_match
1.3.2.4	Dolphin_Assisted_Therapy	N/A	no_mrconso_exact_match
1.3.2.5	Canine_Visitation_Therapy	Canine Visitation Therapy (CVT)	no_mrconso_exact_match
1.3.2.6	Companion_Animal_Therapy	N/A	no_mrconso_exact_match
1.3.2.7	Dog_Assisted_Therapy	Canine Therapy	no_mrconso_exact_match
1.3.2.7.1	Canine_Assisted_Ambulation	N/A	no_mrconso_exact_match
1.3.2.8	Animals_in_Human_Therapy	N/A	no_mrconso_exact_match
1.3.4.1.1	Aura_Soma_Therapy		no_mrconso_exact_match
1.3.4.3.1	Scent_Therapy	N/A	no_mrconso_exact_match
1.3.4.5	Expressive_Therapy	Creative Arts Therapies|expressive therapies	no_mrconso_exact_match
1.3.4.5.1.1	Visual_Art_Therapy		no_mrconso_exact_match
1.3.4.5.1.1.1	Pottery		no_mrconso_exact_match
1.3.4.5.1.1.2	Chinese_Calligraphy_Therapy		no_mrconso_exact_match
1.3.4.5.1.1.3	Clay_Art_Therapy		no_mrconso_exact_match
1.3.4.5.1.1.4	Mandala_Therapy		no_mrconso_exact_match
1.3.4.5.1.2	Creative_Art_Therapy		no_mrconso_exact_match
1.3.4.5.1.2.1	Creative_Expression		no_mrconso_exact_match
1.3.4.5.1.2.2	Artistic_Therapy_Painting		no_mrconso_exact_match
1.3.4.5.1.3	Phenomenological_Art_Therapy		no_mrconso_exact_match
1.3.4.5.1.4	Mindfulness_Based_Art_Therapy		no_mrconso_exact_match
1.3.4.5.1.5	Psychodynamic_Group_Art_Therapy		no_mrconso_exact_match
1.3.4.5.1.6	Anthroposophic_Art_Therapy		no_mrconso_exact_match
1.3.4.5.2.1	Musical_Game		no_mrconso_exact_match
1.3.4.5.2.2	Orff_Based_Music_Therapy		no_mrconso_exact_match
1.3.4.5.2.3	Lyric_Analysis		no_mrconso_exact_match
1.3.4.5.2.4	Medical_Resonance_Therapy_Music		no_mrconso_exact_match
1.3.4.5.2.5	Musical_Motor_Feedback		no_mrconso_exact_match
1.3.4.5.2.6	Evocative_Music		no_mrconso_exact_match
1.3.4.5.2.7	Raga_Therapy		no_mrconso_exact_match
1.3.4.5.2.8	Dinner_Music_Intervention		no_mrconso_exact_match
1.3.4.5.2.9	Active_Music_Therapy		no_mrconso_exact_match
1.3.4.5.2.9.1	Interactive_Music_Therapy		no_mrconso_exact_match
1.3.4.5.2.10	Music_Based_Imagery		no_mrconso_exact_match
1.3.4.5.2.11	Individualized_Music_Focused_Auditory_Therapy		no_mrconso_exact_match
1.3.4.5.2.12	Lullaby_Therapy		no_mrconso_exact_match
1.3.4.5.2.13	Music_Reinforced_Therapy		no_mrconso_exact_match
1.3.4.5.2.14	Instructional_Music_Therapy		no_mrconso_exact_match
1.3.4.5.2.15	Improvisational_Music_Therapy		no_mrconso_exact_match
1.3.4.5.2.16	Group_Chanting_and_Singing		no_mrconso_exact_match
1.3.4.5.2.17	Music_Listening_Intervention		no_mrconso_exact_match
1.3.4.5.2.18	Musicokinetic_Therapy		no_mrconso_exact_match
1.3.4.5.2.19	Calming_Music_Therapy		no_mrconso_exact_match
1.3.4.5.2.20	Live_Music_Therapy		no_mrconso_exact_match
1.3.4.5.2.21	Group_Drumming		no_mrconso_exact_match
1.3.4.5.2.22	Contingent_Music		no_mrconso_exact_match
1.3.4.5.2.23	Music_Video_Therapy		no_mrconso_exact_match
1.3.4.5.2.24	Music_Exposure_Therapy		no_mrconso_exact_match
1.3.4.5.2.25	Music_Assisted_Reframing		no_mrconso_exact_match
1.3.4.5.2.26	Karaoke_Therapy		no_mrconso_exact_match
1.3.5.2.2	Post_Hypnotic_Suggestion	N/A	no_mrconso_exact_match
1.3.5.3	Hypnoanalgesia	N/A	no_mrconso_exact_match
1.3.5.5.1	Antenatal_Self_Hypnosis	N/A	no_mrconso_exact_match
1.3.5.6	Cognitive_Hypnotherapy	N/A	no_mrconso_exact_match
1.3.6.1	Relaxation_Mental_Imagery	N/A	no_mrconso_exact_match
1.3.7.2.1	Native_American_Faith_Healing	N/A	no_mrconso_exact_match
1.3.7.4.1	Concentrative_Meditation	N/A	no_mrconso_exact_match
1.3.7.4.1.1	Mantra_Meditation	N/A	no_mrconso_exact_match
1.3.7.4.1.2	Zen_Meditation	N/A	no_mrconso_exact_match
1.3.7.4.1.3	Breath_Medication	N/A	no_mrconso_exact_match
1.3.7.4.1.4	Guided_Medication	N/A	no_mrconso_exact_match
1.3.7.4.2.1	Mindful_Eating		no_mrconso_exact_match
1.3.7.4.2.2	Mindfulness_Based_Art_Therapy		no_mrconso_exact_match
1.3.7.4.2.3	Body_Scanning_Meditation	N/A	no_mrconso_exact_match
1.3.7.4.2.4	Mindfulness_Based_Stress_Reduction_Meditation	MBSR meditation	no_mrconso_exact_match
1.3.7.4.2.4.1	Cognitive_Behavioral_and_Mindfulness_Based_Stress_Reduction	N/A	no_mrconso_exact_match
1.3.7.4.2.5	Walking_Medication	N/A	no_mrconso_exact_match
1.3.7.4.2.6	Mindfulness_Based_Relapse_Prevention	MBRP	no_mrconso_exact_match
1.3.7.4.2.7	Adapted_Mindfulness_Based_Intervention	N/A	no_mrconso_exact_match
1.3.7.4.2.8	Mindfulness_and_Acceptance_Based_Group_Therapy	N/A	no_mrconso_exact_match
1.3.7.4.2.9	Mindfulness_Awareness_Practice	N/A	no_mrconso_exact_match
1.3.7.4.2.11	Mindfulness_Based_Alzheimer_Stimulation	N/A	no_mrconso_exact_match
1.3.7.4.2.12	Mindfulness_Based_Exposure_Therapy	N/A	no_mrconso_exact_match
1.3.7.4.2.14	Mindfulness_Based_Resilience_Training	MBRT	no_mrconso_exact_match
1.3.7.4.2.15	Mindfulness_Based_Blood_Pressure_Reduction	MB-College	no_mrconso_exact_match
1.3.7.4.2.16	Mindfulness_Based_College	MSC	mrconso_exact_review_required
1.3.7.4.2.17	Mindful_Self_Compassiion	N/A	no_mrconso_exact_match
1.3.7.4.2.18	Mindfulness_Performance_Enhanncement_Awareness_and_Knowledge	mPEAK	no_mrconso_exact_match
1.3.7.4.3	Vipassana_Meditation	N/A	no_mrconso_exact_match
1.3.7.4.4	Analytical_Meditation	N/A	no_mrconso_exact_match
1.3.7.4.5	Theravada_Meditation	N/A	no_mrconso_exact_match
1.3.7.4.6	Heartfulness_Meditation	N/A	no_mrconso_exact_match
1.3.7.4.7	Compassion_Based_Meditation	N/A	no_mrconso_exact_match
1.3.7.4.8	Loving_Kindness_Meditation	N/A	no_mrconso_exact_match
1.3.7.7	Shamanic_Healing	Shamanic medicine	no_mrconso_exact_match
1.3.7.9	Noetic_Therapy	N/A	no_mrconso_exact_match
1.3.7.10	Divining	N/A	no_mrconso_exact_match
1.3.7.12	Sound_Healing	N/A	no_mrconso_exact_match
1.3.8.2.1	Scent_Therapy		no_mrconso_exact_match
1.3.8.3	Mindfulness_Based_Stress_Reduction_Meditation		no_mrconso_exact_match
1.3.8.3.1	Cognitive_Behavioral_and_Mindfulness_Based_Stress_Reduction		no_mrconso_exact_match
1.3.10.3	Body_Psychotherapy	Body-Oriented Psychotherapy	no_mrconso_exact_match
1.3.10.4.3	Biographical_Counseling	N/A	no_mrconso_exact_match
